nm_id;артикул;название;запрос;запросов_нед;позиция;переходы;заказы;ставка_₽;остаток;чистая_₽_шт
944934660;6404;Картриджи W2300A-W2303A для HP 4303fdn, 4303fdn, 4303fdn;w2300a картридж;1;24;1;0;10.68;36;3745
850494348;6400;Картридж W2300A для HP 4203cdn, 4203cdn, 4203cdn черный;w2300a картридж;1;24;1;0;;1;877
257807840;4157;Картридж 808SK для Lexmark CX310, CX410, CX510 черный;картридж для lexmark z600;1;24;1;0;;20;1998
511077811;6576;Картриджи 131-135 для HP PhotoSmart 2713, PhotoSmart 8153;hp 135;3;25;1;0;10.68;17;8103
181095500;0308;Картридж 135 для HP DeskJet 460c, DeskJet 460cb цветной;hp 135;3;25;1;0;;36;408
192567319;0098;Картриджи T0551-T0554 для Epson Stylus Photo X420;перезаправляемые картриджи для epson stylus photo r240;2;25;2;0;10.68;2;631
209664101;3564;Картриджи PFI-120 для Canon iPF TM200, iPF TM205, iPF TM300;картридж для принтера canon 305;2;25;1;0;;31;8542
199331545;3907;Картридж W1106A для HP Laser 107A, Laser 107R черный;картридж europrint w2410a №216a, черный;2;25;1;0;;36;140
200164816;020039;Картридж для HP DeskJet F2280;струйный картридж hp 21;1;25;1;0;10.68;14;1166
568092926;0080;Картриджи T1281-T1284 для Epson Stylus SX440, Stylus SX445;картридж для epson s22;1;25;2;0;;36;496
263820332;0191;Картридж T1284 для Epson BX625, Stylus SX430W желтый;картридж для epson s22;1;25;2;0;;36;295
200166377;02743;Картридж для Samsung SCX-3400;картридж samsung scx 3400;40;26;1;0;;2;480
192569274;4278;Картриджи W2410A-W2413A для HP Color LaserJet Pro M155a;картридж для принтераhp w2410a;1;26;1;0;12.93;2;1907
199335424;4274;Картридж W2410A для HP Color LaserJet Pro M155a черный;картридж для принтераhp w2410a;1;26;1;0;10.68;3;521
181105075;0336;Картриджи 45-23 для HP OfficeJet Pro 1175, OfficeJet R45;картридж для принтера hp 45 large blak;1;26;1;0;;28;2310
199565790;083810;Картридж для Epson Expression Home XP-406;epson xp-103 картриджи;1;26;1;0;;36;189
326847212;0305;Картридж 45 для HP Copier 110, Copier 120 черный;картридж для принтера hp 45 large blak;1;26;1;0;;1;1242
850443441;6686;Заправочный комплект 3YM60 для HP DeskJet 2320, DeskJet 4120;картридж цвет. deskjet 2320 набор;1;26;2;0;;32;646
964952647;45421;Картридж для HP Laser 107A;картридж hp 107a с чипом;1;26;1;0;;2;506
215240741;26331;Картридж для Konica Minolta Bizhub C227;konica minolta c227 картридж;0;26;1;0;;1;736
200167236;10421;Картридж для Samsung Xpress M2020;картридж для принтера самсунг м2020;2;27;1;0;24.79;3;507
209655407;0086;Картридж 725X для Canon F-158200, LBP6000, LBP6020 черный;картридж canon lbp 6020;2;27;1;0;;20;825
566797602;0900;Картриджи T1711-T1714 для Epson XP-406, XP-413, XP-406;epson xp-103 картриджи;1;28;5;0;14.18;36;810
216341469;5389;Картридж ML-1610 для Samsung ML-1610, ML-1615 черный;картридж для принтера samsung мл 2015;1;28;1;0;10.68;3;1364
263820535;0839;Картридж T1712 для Epson XP-303, XP-306, XP-303 голубой;epson xp-103 картриджи;1;28;6;0;;1;154
199330823;0838;Картридж T1711 для Epson XP-203, XP-103, XP-207 черный;epson xp-103 картриджи;1;28;1;0;;36;195
263820523;0840;Картридж T1713 для Epson XP-313, XP-323, XP-313 пурпурный;epson xp-103 картриджи;1;28;1;0;;1;194
263820530;0841;Картридж T1714 для Epson XP-33, XP-403, XP-33, XP-33 желтый;epson xp-103 картриджи;1;28;2;0;;1;159
209712460;4201;Картридж CF259A для HP LJ Pro M304, LJ Pro M404 черный;hp 259a;1;28;1;0;;36;1329
199565761;08382;Картридж для Epson Expression Home XP-103;epson xp-103;3;29;1;0;;36;194
326847212;0305;Картридж 45 для HP Copier 110, Copier 120 черный;картридж hp45;2;29;1;0;;1;1242
209663375;2314;Картриджи 650 для HP DJ 4515, DJ 4615;картриджи для принтера hp 3545;1;29;1;0;;36;1185
499434500;6283;Картриджи 006R04395 - 006R04398 для Xerox C230, C235;картридж  для принтере xerox c235;1;29;1;0;;12;14075
397269762;6068;Картридж 006R04395 для Xerox C230, C235 черный;картридж  для принтере xerox c235;1;29;1;0;;12;5697
200166364;02741;Картридж для Samsung ML-2160;samsung scx-3405 картридж;4;30;1;0;;2;1214
199330940;0245;Картридж TN-2080 для Brother DCP-7055R, DCP-7055WR черный;картридж tn-2130;1;30;1;0;;36;386
437229552;4417;Чернила GI-43 для Canon Pixma G540, Pixma G640;краска на принтер canon pixma g640;1;30;1;0;;36;1022
