поставщик;артикул;наименование;штук;документ;категория;код МС;внешний код (мусор);вариантов;вариант 1 код;вариант 1 наименование;вариант 1 вердикт;вариант 2 код;вариант 2 наименование;вариант 3 код;вариант 3 наименование
bulat;EFRCMP3003020;Блок фотобарабана БУЛАТ D1862219, D1862229 для Ricoh MP C3003 (Цветной), ref.;50.0;bulat_2026-08-18_p13;;;26DqstxvgZ4OniKXqALyA0;5;2076;Картридж Colortek Ricoh Aficio MP C3003 Black (841817);"не указано в каталоге: цвет, ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";2077;Картридж Colortek Ricoh Aficio MP C3003 Cyan (841820);2078;Картридж Colortek Ricoh Aficio MP C3003 Magenta (841819);
bulat;EFRCMP3003030;Блок фотобарабана в сборе с блоком проявки D1862275 для Ricoh MP C3003 (Чёрный), ref.;20.0;bulat_2026-08-18_p13;;;1DbyqvgviSxiRb4yRyeve0;1;2076;Картридж Colortek Ricoh Aficio MP C3003 Black (841817);"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EFRCMP3004020;Блок фотобарабана в сборе с блоком проявки БУЛАТ для Ricoh MP C3004 (D2392285) Голубой, ref.;20.0;bulat_2026-08-18_p16;;;mWPAuwYHhOdHEYOpdEoao1;1;2077;Тонер-картридж Hi-Black (HB-Type MPC3503C) для Ricoh Aficio MP C3003/C3004/C3503, C, 18K;"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EFRCMP3004030;Блок фотобарабана в сборе с блоком проявки БУЛАТ для Ricoh MP C3004 (D2392286) Пурпурный, ref.;20.0;bulat_2026-08-18_p16;;;d6OrtYTBg6I7x59kwNuMb1;1;2078;Тонер-картридж Hi-Black (HB-Type MPC3503M) для Ricoh Aficio MP C3003/C3004/C3503, M, 18K;"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EFRCMP3004040;Блок фотобарабана в сборе с блоком проявки БУЛАТ для Ricoh MP C3004 (D2392287) Жёлтый, ref.;20.0;bulat_2026-08-18_p16;;;ZFSSed00ic7ECY3N37PmY3;1;2079;Тонер-картридж Hi-Black (HB-Type MPC3503Y) для Ricoh Aficio MP C3003/C3004/C3503, Y, 18K;"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EFRX00VS80060;Блок проявки БУЛАТ 948K16840 Цветной для  Xerox Versant 80, 2100 (Developer Housing Assembly), ref.;20.0;bulat_2026-08-18_p15;;;GwjxaqlHinp-qQuM6wYZs3;0;;;;;;;;
bulat;EFRXVL7120050;Драм-картридж БУЛАТ s-Line Xerox 013R00688 для VersaLink C7120 (Цветной, 109000 стр.), ref.;50.0;bulat_2026-08-18_p16;;;DOsTWi55h9jQvBizNPdZD2;6;6230;Драм-картридж PL-013R00688 для принтеров Xerox VersaLink C7120/C7125/C7130 Drum B/C/M/Y 87000 копий ProfiLine;"не указано в каталоге: цвет, чип; из каталога ТК: ресурс/объём, бренд";3707;Драм-картридж БУЛАТ 113R00780 для Xerox VersaLink C7020  (Цветной, 109000 стр.);5434;Картридж лазерный Cet CET141839 006R01828 черный (31300стр.) для Xerox VersaLink C7120/C7125/C7130;
bulat;EFSMSL4300010;Тонер-картридж БУЛАТ s-Line CLT-K808S для Samsung SL-X4300 (Чёрный, 23000 стр.), старая версия чипа;20.0;bulat_2026-08-18_p6;;;NOGehteNgRs7whtg1GEcS3;0;;;;;;;;
bulat;EFSMSL4300020;Тонер-картридж БУЛАТ s-Line CLT-C808S для Samsung SL-X4300 (Голубой, 20000 стр.), старая версия чипа;20.0;bulat_2026-08-18_p6;;;iISxdzgwh8mXYenHDOEsu3;0;;;;;;;;
bulat;EFSMSL4300030;Тонер-картридж БУЛАТ s-Line CLT-M808S для Samsung SL-X4300 (Пурпурный, 20000 стр.), старая версия чипа;20.0;bulat_2026-08-18_p6;;;KHE34H46gt4HbSVMYfiSS3;0;;;;;;;;
bulat;EFSMSL4300040;Тонер-картридж БУЛАТ s-Line CLT-Y808S для Samsung SL-X4300 (Жёлтый, 20000 стр.), старая версия чипа;20.0;bulat_2026-08-18_p6;;;05r-4pTjj8a7yVRIpT0za1;0;;;;;;;;
bulat;GAEP00L100010;Поглотитель чернил (памперс) БУЛАТ 1627961 для Epson L100, L200 (10000 стр.);100.0;bulat_2026-08-18_p12;;;scLOCG48ibNgZt5mhbQrY1;8;2611;Набор чернил  Sakura SIC13T664BA(664 BK) для Epson L485/L385/L380/L361/L100/L101/L110/L111/L120/L130/L200/L201/L210/L211/L220/L300/L301/L303/L310/L313/L350/L351/L353/L355/L358/L360/L363/L365/L455/L550/L551/L555/L558/L565/L1300/L386/L382/L364/L486$ Ec;"НЕ СОВПАЛО: ресурс/объём; не указано в каталоге: цвет, чип; из каталога ТК: ресурс/объём, бренд";2608;Контейнер с чернилами (с клапаном) Epson L100/L200/L300/L605/L1455 T6642/C13T66424A Cyan (100мл) dye;3184;СРОЧНО Картридж для Epson T6732A/T6642A L100/L200/L800/L1800/L3070 Cyan 100 ml AQUAMARINE (Совместимый);
bulat;GAEP00M100010;Поглотитель чернил (памперс) БУЛАТ 1799792, 1746399, 1584721 для Epson M100, M200, L550, L555;50.0;bulat_2026-08-18_p11;;;PKz5KKuYgpPDNHGwBbpM91;3;5029;Blossom BS-T7741-1L Емкость с чернилами для Epson M100/M200, 1000мл;"не указано в каталоге: цвет, ресурс/объём, чип; из каталога ТК: цвет, бренд";3855;Blossom BS-T7741 Емкость с чернилами для Epson M100/M200, 140мл;2611;Набор чернил  Sakura SIC13T664BA(664 BK) для Epson L485/L385/L380/L361/L100/L101/L110/L111/L120/L130/L200/L201/L210/L211/L220/L300/L301/L303/L310/L313/L350/L351/L353/L355/L358/L360/L363/L365/L455/L550/L551/L555/L558/L565/L1300/L386/L382/L364/L486$ Ec;
bulat;GAEP0L6160020;Поглотитель чернил (памперс) БУЛАТ T04D100, C13T04D100 для Epson M3170, L6160, M1140, L14150;101.0;bulat_2026-08-18_p12;;;bmkJpu1XjrNcgk1ImHHXI3;5;3851;СРОЧНО Картридж для Epson T03V24A L4150/L6160/L14150 ЧЕРНИЛА Cyan 70 ml AQUAMARINE (Совместимый);"не указано в каталоге: цвет, ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";3852;СРОЧНО Картридж для Epson T03V34A L4150/L6160/L14150 ЧЕРНИЛА Magenta 70 ml  AQUAMARINE (Совместимый);3850;Картридж для Epson T03V14A L4150/L6160/L14150 ЧЕРНИЛА Black 140 ml AQUAMARINE (Совместимый);
bulat;GAEPSPR290010;Поглотитель чернил (памперс) БУЛАТ 1469197 для Epson StylusPhoto R290, L800;51.0;bulat_2026-08-18_p12;;;qjEwxobVgDZLpnE4FPY3e3;8;0161;PL-0821 для Epson R270/R290/R295/R390/RX590/RX610/RX615/RX690/1410/TX700W/TX800 Black водн PL;"не указано в каталоге: цвет, ресурс/объём; из каталога ТК: цвет, ресурс/объём, чип, бренд";0162;PL-0822 для Epson R270/R290/R295/R390/RX590/RX610/RX615/RX690/1410/TX700W/TX800 Cyan водн PL;0165;PL-0825 для Epson R270/R290/R295/R390/RX590/RX610/RX615/RX690/1410/TX700W/TX800 L Cyan водн PL;
bulat;GDCN0G1420010;Чернила Canon GI-41PGBK, Чёрные (6000 стр., 135 мл) pigment;50.0;bulat_2026-08-18_p11;;;tfiLVGxPgsONHq8k3pYGZ3;2;5413;Чернила Cactus CS-GI41PGBK GI-41 PGBK черный пигментный 140мл для Canon PIXMA G1420/G2420/G2460/G3420/G3460;"не указано в каталоге: чип; из каталога ТК: цвет, бренд";5417;Чернила Cactus CS-GI41PGBK/C/M/Y голубой/пурпурный/желтый/черный для Canon PIXMA G1420/G2420/G2460/G3420/G3460;;;
bulat;GDCN0GI490010;Чернила Canon GI-490BK (0663C001), Чёрные (6000 стр., 135 мл) dye;100.0;bulat_2026-08-18_p11;;;tIdCvNI5gFof7RhL4cuDg1;2;3759;Чернила Cactus CS-GI-490SET голубой/пурпурный/желтый/черный набор для Canon PIXMA G1400/G1410/G1411/G2400/G2410/G2411/G3400/G3410/G3411/G4400/G4410/G4411;"не указано в каталоге: ресурс/объём, чип; из каталога ТК: ресурс/объём, бренд";3755;Чернила водорастворимые SP GI-490BK (0663C001) для Canon (черный, 135 мл);;;
bulat;GDCN0UNIV0010;Чернила Canon Universal, Чёрные банка 500 мл pigment;20.0;bulat_2026-08-18_p11;;;5P-alZEbhioW5PeZ5582p1;0;;;;;;;;
bulat;GDCN0UNIV0030;Чернила Canon Universal, Голубые банка 500 мл dye;20.0;bulat_2026-08-18_p11;;;2NN-ejwPiidP21S9wBs473;0;;;;;;;;
bulat;GDCN0UNIV0040;Чернила Canon Universal, Пурпурные банка 500 мл dye;20.0;bulat_2026-08-18_p11;;;D5i6Dk44huhyXJmhc3t-20;0;;;;;;;;
bulat;GDCN0UNIV0050;Чернила Canon Universal, Жёлтые банка 500 мл dye;20.0;bulat_2026-08-18_p11;;;CHspJweVjsKSdfQYzplUD0;0;;;;;;;;
bulat;GDCN0UNIV0060;Чернила Canon Universal, Чёрные банка 100 мл pigment;50.0;bulat_2026-08-18_p14;;;7wZeKKKLjQrN-PokdNWXO2;0;;;;;;;;
bulat;GDEP00L800030;Контейнер с чернилами (с клапаном) БУЛАТ T6733, C13T67334A для Epson L800, Пурпурный (70 мл) dye;300.0;bulat_2026-08-18_p11;;;PQw7mWmjgBDrhaBo43RZ81;2;3185;Картридж для Epson T6733A/T6643A L100/L200/L800/L1800/L3070 Magenta 100 ml AQUAMARINE (Совместимый);"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";2609;Контейнер с чернилами (с клапаном) БУЛАТ T6733, C13T67334A для Epson L800,  Пурпурный (100 мл) dye;;;
bulat;GDEP00L800040;Контейнер с чернилами (с клапаном) БУЛАТ T6734, C13T67344A для Epson L800, Жёлтый (70 мл) dye;300.0;bulat_2026-08-18_p11;;;ta48gexVgSYcwmlleT7l11;2;3186;Картридж для Epson T6734A/T6644A L100/L200/L800/L1800/L3070 Yellow 100 ml AQUAMARINE (Совместимый);"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";2610;Blossom BS-T6644/T6734-1L Чернила для Epson L100/L200/L800/L1800, yellow, 1000мл.;;;
bulat;GDEP00L800100;Контейнер с чернилами (с клапаном) БУЛАТ C13T67344A  для Epson L800 T6734, Жёлтый (100 мл) dye;301.0;bulat_2026-08-18_p11;;;XlZXo-mLiewoeyixCuBlC3;2;3186;Картридж для Epson T6734A/T6644A L100/L200/L800/L1800/L3070 Yellow 100 ml AQUAMARINE (Совместимый);"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";2610;Blossom BS-T6644/T6734-1L Чернила для Epson L100/L200/L800/L1800, yellow, 1000мл.;;;
bulat;GDEP0L1455020;Контейнер с чернилами БУЛАТ C13T77414A, T7741 для Epson L1455, L605, M100, Чёрный (6000 стр., 140 мл) pigment;200.0;bulat_2026-08-18_p11;;;iqQfXVkxggidPUlDy2HRv0;3;3855;Картридж для Epson T7741 EcoTank M100/200/ L605/L1455 Pigment Black 140 ml  AQUAMARINE (Совместимый);"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";5029;Blossom BS-T7741-1L Емкость с чернилами для Epson M100/M200, 1000мл;3183;Контейнер с чернилами (с клапаном) Epson L100/L200/L300/L605/L1455 T6641/C13T66414A Black (100мл) dye;
bulat;GDEP0L4150010;Контейнер с чернилами БУЛАТ C13T03V14A для Epson L4150, L6160 101, Чёрный (7500 стр., 127 мл);202.0;bulat_2026-08-18_p11;;;gbAx4a0gjtkcPWnYiWAzh3;2;3850;Blossom BS-T03V14A Емкость с чернилами для Epson L4150/L4160/L6160/L6170/L6190, черный 127мл;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";3854;Набор чернил Sakura SIC13T03VBA (101 BK/C/M/Y) для Epson EcoTank L4150/L4156/L4160/L4250/L4260/L4266/L6160/L6170/L6176/L6190/L6260/L6270/L6276/L6290, водорастворимый тип,  (черный,голубой, пурпурный, желтый), 4шт в наборе.;;;
bulat;GDEP0L4150020;Контейнер с чернилами БУЛАТ C13T03V24A, E-101 для Epson L4150, L6160, Голубой (6000 стр., 70 мл);200.0;bulat_2026-08-18_p11;;;Jtp0hacejRc4JA1RsZRBI1;1;3851;Blossom BS-T03V24A Емкость с чернилами для Epson L4150/L4160/L6160/L6170/L6190, голубой 70мл;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;GDEP0L4150030;Контейнер с чернилами БУЛАТ C13T03V34A для Epson L4150, L6160 101, Пурпурный (6000 стр., 70 мл);200.0;bulat_2026-08-18_p11;;;zIu5SGtej4WLb0EqyyGd21;1;3852;Blossom BS-T03V34A  Емкость с чернилами для Epson L4150/L4160/L6160/L6170/L6190, пурпурный 70мл;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;GDEP0L4150040;Контейнер с чернилами БУЛАТ C13T03V44A для Epson L4150, L6160, Жёлтый (6000 стр., 70 мл);200.0;bulat_2026-08-18_p11;;;5eYM80Mij68GcPYM09Eh41;1;3853;Blossom BS-T03V44A  Емкость с чернилами для Epson L4150/L4160/L6160/L6170/L6190, желтый 70мл;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;GDEP0L8160010;Чернила 115, C13T07C14A для Epson L8160, L8180 (банка с колпачком), Чёрные (6700 стр., 70 мл) pigment;20.0;bulat_2026-08-18_p14;;;SPwz1fsVgjZxHXnJCSg3T2;2;6455;Чернила Cactus CS-EPT07C14 115BK черный пигментный70мл для Epson ECOTANK L8160/8180;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";6456;Чернила для Epson C13T07D14A  EcoTank  L8160/L8180 115 PhotoBlackt 70 ml AQUAMARINE;;;
bulat;GDEP0L8160020;Чернила БУЛАТ 115, C13T07D14A для Epson L8160 , L8180 (банка с колпачком), Чёрные (70 мл);50.0;bulat_2026-08-18_p14;;;YITexpo4j9f1RBL7SK8No0;2;6456;Чернила Cactus CS-EPT07D14 115PBK черный фото70мл для Epson ECOTANK L8160/8180;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";6455;Чернила для Epson C13T07C14A  EcoTank  L8160/L8180 115 Black pigment 70 ml AQUAMARINE;;;
bulat;GDEP0M1100010;Контейнер с чернилами БУЛАТ C13T03P14A, E-110 для Epson M1100, M1170, M2140 Чёрный XL (6000 стр., 120 мл) pigment;300.0;bulat_2026-08-18_p11;;;zrOEGgTbgLuO0Om4lzu1d0;2;6078;Контейнер с чернилами Sakura C13T03P14A (110 BK) для Epson, черный, 6000 к., 127 мл.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";4433;Картридж для Epson T03P14A EcoTank M-11хх/21хх/31хх ЧЕРНИЛА Black 6K ВОДНЫЕ AQUAMARINE (Совместимый);;;
bulat;GDEP0T7741010;Чернила Epson T7741, C13T77414A, Чёрные банка 500 мл pigment;52.0;bulat_2026-08-18_p12;;;G-zakYY-ioGglPqffBZ1S1;2;3855;Чернила пигментные SK-E-T7741 Bk 6k 140ml SP;"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";5696;Чернила T7741, C13T77414A для Epson L1455, L605 , M100 (банка с колпачком), Чёрные (6000 стр., 100 мл) pigment;;;
bulat;GDEP0UNIV0050;Чернила Epson Universal Light, Голубые банка 100 мл dye;50.0;bulat_2026-08-18_p12;;;ZnMNj822gsrmmAFfJddnW3;0;;;;;;;;
bulat;GDEP0UNIV0060;Чернила Epson Universal Light, Пурпурные, банка 100 мл dye;50.0;bulat_2026-08-18_p12;;;kHT7Lr9Ai906bc0iYaDvi2;0;;;;;;;;
bulat;GDEP0UNIV0080;Чернила Epson Universal, Голубые банка 500 мл dye;100.0;bulat_2026-08-18_p12;;;zLoNwMzfgqYFGbVRxaQ5O0;0;;;;;;;;
bulat;GDEP0UNIV0090;Чернила Epson Universal, Пурпурные, банка 500 мл dye;100.0;bulat_2026-08-18_p12;;;0erWUEGeiLZ4v1CEL8cGO0;0;;;;;;;;
bulat;GDEP0UNIV0100;Чернила Epson Universal, Жёлтые, банка 500 мл dye;100.0;bulat_2026-08-18_p12;;;L90BQro-huEydLq5aRguZ2;0;;;;;;;;
bulat;GDEP0UNIV0110;Чернила Epson Universal Light, Голубые, банка 500 мл dye;50.0;bulat_2026-08-18_p12;;;Cbby5EMniu55XcfPokg-K2;0;;;;;;;;
bulat;GDEP0UNIV0120;Чернила Epson Universal Light, Пурпурные банка 500 мл dye;50.0;bulat_2026-08-18_p12;;;FbE421KghMOb58QyBWoOM3;0;;;;;;;;
bulat;GDEPL15150010;Контейнер с чернилами БУЛАТ 112, C13T06C14A для Epson L15150, L6550, Pro L6580, M15140 (Чёрный, 7500 стр., 127 мл) pigment;100.0;bulat_2026-08-18_p14;;;ZfdpWE8njfBxXbZZxo8o02;2;4434;Контейнер с чернилами Sakura C13T06C14A (112 BK) для Epson, черный, 7500 к., 140 мл.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";5228;Набор чернил для Epson Multipack 112 CMY BK 4x70 ml AQUAMARINE (Совместимый);;;
bulat;GDHELCUNIV050;Чернила БУЛАТ чёрные, универсальные банка (70мл) dye для HP, Epson, Lexmark, Canon, Brother;200.0;bulat_2026-08-18_p14;;;y9PBc7K6gIHyZ-VxwEFzL1;0;;;;;;;;
bulat;GDHP00GT52040;Чернила HP GT52 (M0H54AE), Голубые (100 мл) dye;50.0;bulat_2026-08-18_p12;;;kWa9YLaojsWqlaezyjOUc2;2;3738;Чернила SP GT52 (M0H54AE) для HP (голубой, 100 мл);"не указано в каталоге: чип; из каталога ТК: цвет, бренд";3741;Чернила Cactus CS-GT51-52M/C/Y многоцветный набор 4x100мл для DeskJet GT 5810/5820/5812/5822;;;
bulat;GDHP00GT52050;Чернила HP GT52 (M0H55AE), Пурпурные (100 мл) dye;50.0;bulat_2026-08-18_p12;;;GJ6-Qd6Zhsylapn-JN6e10;1;3739;Чернила G&G GG-GT52M пурпурный100мл для HP Ink Tank 110/115/116/118/310/315/316/318/319/515/615;"не указано в каталоге: чип; из каталога ТК: цвет, бренд";;;;;
bulat;GDHP00GT52060;Чернила HP GT52 (M0H56AE), Жёлтые (100 мл) dye;50.0;bulat_2026-08-18_p12;;;Br2CZs65gl88fXm3mvrwP2;1;3740;Чернила G&G GG-GT52Y желтый100мл для HP Ink Tank 110/115/116/118/310/315/316/318/319/515/615;"не указано в каталоге: чип; из каталога ТК: цвет, бренд";;;;;
bulat;GDHP0UNIV0010;Чернила HP Universal, Чёрные банка 500 мл pigment;50.0;bulat_2026-08-18_p12;;;Uy4m4kUghzubKyejBaRpQ2;0;;;;;;;;
bulat;GDHP0UNIV0020;Чернила HP Universal, Чёрные банка 500 мл dye;50.0;bulat_2026-08-18_p12;;;8oNEVXC0hXS0MIid8pqRS0;0;;;;;;;;
bulat;GDHP0UNIV0030;Чернила HP Universal, Голубые, банка 500 мл dye;50.0;bulat_2026-08-18_p12;;;LuttSNV5gTe7ZREYVZy5-0;0;;;;;;;;
bulat;GDHP0UNIV0040;Чернила HP Universal, Пурпурные банка 500 мл dye;50.0;bulat_2026-08-18_p12;;;3uel0k9DgNwuroWs6sVUR3;0;;;;;;;;
bulat;GDHP0UNIV0050;Чернила HP Universal, Жёлтые банка 500 мл dye;50.0;bulat_2026-08-18_p12;;;kj0Yae9djjFIGD6CuSDn83;0;;;;;;;;
bulat;GFCNIP1200010;Струйный картридж БУЛАТ CL-41 Color (0617B025) для Canon Pixma iP1200, 2200, 6210, MP140, MX300 (Цветной, 18 мл), ref.;20.0;bulat_2026-08-18_p15;;;4c0jndgPjxccJJ8SKhttd1;8;0183;Струйный картридж Sakura 0617B025 (41 Color) для Canon, триколор, 18 мл., 330 к.;"не указано в каталоге: цвет, ресурс/объём, чип; из каталога ТК: ресурс/объём, бренд";2298;IC-CPG-40+CL-41_MP Комплект картриджей T2 для Canon: PG-40/CL-41, черный + цветной;5738;Заправочный набор Hi-Black для Canon CL-41, Color, 3x20 мл.;
bulat;GFCNIP1200020;Струйный картридж БУЛАТ PG-40 (0615B025) для Canon Pixma iP1200, 2200, 6210, MP140, MX300 (Чёрный, 18 мл), ref.;50.0;bulat_2026-08-18_p15;;;monqICZYgbF3P17pLp8hs1;8;0182;Струйный картридж Sakura 0615B025 (40 BK) для Canon, черный, 18 мл., 380 к.;"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";5669;Заправочный набор Canon PG-37/ PG-40/ PG-50 (Bk);1456;Картридж струйный Cactus CS-PG37 PG-37 черный (9мл) для Canon Pixma iP1800/iP1900/iP2500/iP2600/MP140/MP190/MP210/MP220/MP470/MX300/MX310 с чипом;
bulat;GFCNMG2110010;Струйный картридж PG-140XL (5200B001) для Canon Pixma MG2110, MX371, TS5110 (Чёрный, 300 стр., 18 мл), ref.;50.0;bulat_2026-08-18_p16;;;1Fkhza9LjhDzlmUSPe27A0;3;5678;Заправочный набор HP SK-HP-140/ 140XL (Bk);"НЕ СОВПАЛО: бренд; не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, бренд";0198;Картридж струйный Cactus CS-CB336 №140XL черный (29мл) для HP DJ D4263/D4363/DJ J5783/J6413/PSC C4273/C4283/C4343/C4383/C4473/C4483/C4583/C5283/D5363 с чипом;0337;IC-H140XL/141XL_MP Комплект картриджей T2 для HP №140XL + №141XL: IC-H336 черный + IC-H338 цветной;
bulat;GFCNMG2110020;Струйный картридж CL-141XL Color (5202B001) для Canon Pixma MG2110, MX371, TS5110 (Цветной, 400 стр.,18 мл), ref.;50.0;bulat_2026-08-18_p16;;;8XTxMbl0jrNrjE5zXgmkl1;3;5679;Заправочный набор HP SK-HP-141/ 141XL (C/M/Y);"НЕ СОВПАЛО: бренд; не указано в каталоге: цвет, ресурс/объём, чип; из каталога ТК: бренд";0199;Картридж струйный Cactus CS-CB338 №141XL многоцветный (18мл) для HP DJ D4263/D4363/D5360/DJ J5783/J6413/PS C4273/C4283/C4343/C4383/C4473/C4483/C4583/C5283/D5363 с чипом;0337;* Набор восстановленных картриджей 140-141xl PL;
bulat;GFCNMG2140010;Струйный картридж БУЛАТ PG-440XL (5216B001) для Canon Pixma MG2140, 3140 (Чёрный, 18 мл), ref.;50.0;bulat_2026-08-18_p15;;;U4qEFPSajfe3YYFfwnpae1;6;2395;Картридж струйный Cactus CS-PG440XL PG-440XL черный (600стр.) (20мл) для Canon Pixma MG2140/3140/2240/2245/3240/3540/3640/4140/4240/4250/MX374/375/394/434/454/474/514/524/534/TS5140 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, ресурс/объём, бренд";4394;Картридж струйный Cactus CS-PG440 PG-440 черный (180стр.) для Canon Pixma MG2140/3140/2240/2245/3240/3540/3640/4140/4240/4250/MX374/375/394/434/454/474/514/524/534/TS5140 с чипом;6733;Заправочный набор Cactus CS-RK-PG440 черный 2x60мл для Canon MG2140/MG3140;
bulat;GFCNMG2140020;Струйный картридж БУЛАТ CL-441XL Color (5220B001) для Canon Pixma MG2140, 3140 (Цветной, 18 мл), ref.;50.0;bulat_2026-08-18_p15;;;7faVBGrrgmshBtKqEUatu0;7;3484;Картридж струйный Cactus CS-CL441XL CL-441XL многоцветный (18мл) для Canon Pixma GM2040/4040/GM2140/2240 с чипом;"не указано в каталоге: цвет, ресурс/объём; из каталога ТК: ресурс/объём, бренд";3485;Комплект струйных картриджей Hi-Black №440XL-441XL для Canon PIXMA MG2140/3140 (Bk+ Color);4395;Картридж струйный Cactus CS-CL441 CL-441 многоцветный (18мл) для Canon PIXMA MG2140/ MG3140 с чипом;
bulat;GFCNMG2440010;Струйный картридж БУЛАТ PG-445XL (8282B001) для Canon Pixma MG2440, 2540, MX494, iP2840, TS204 (Чёрный, 14 мл), ref.;20.0;bulat_2026-08-18_p15;;;ZKyQfkksgJPnXycM2us4H3;6;3486;"Картридж струйный G&G GG-PG-445XL-N PG-445 черный (15мл) для Canon PIXMA MG3040/2545S/2440/2940/2540/2540S;iP2840;MX494;TS204/3140/3440;TR4540/3340/4640";"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";3488;Комплект струйных картриджей PL-PG-445XL/CL-446XL для принтеров Canon PIXMA-TS204/TS304/MX494/MG2400/MG2440/MG2500/MG2540/MG2545/iP2840/iP2845/MG2940/MG2945/MG3040/TS3140/TS3340/TR4540/TR4640 с чернилами Black/Color 15+13 мл ProfiLine;3487;Blossom BS-CL-446XL Струйный картридж для Canon PIXMA MG2440/MG2540/MG2940/MX494/iP2840 повышенной;
bulat;GFCNPFI102010;Струйный картридж БУЛАТ PFI-102BK (0895B001) для Canon imagePROGRAF iPF500, iPF600, iPF700, LP17 (Чёрный, 130 мл);50.0;bulat_2026-08-18_p15;;;hEXS6ERFiR4NA0WnlA03l3;4;1238;Картридж струйный Cactus CS-PFI102BK PFI-102 BK черный (130мл) для Canon iPF500/iPF600/iPF700/ MFP M40/iPF765/LP17/LP24 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, бренд";1243;Комплект картриджей PFI-102 Canon;5915;Печатающая головка Blossom BS-PF-03 для Canon iPF500/600/610/700/710/5000/6100/8000/9000;
bulat;GFCNPFI102020;Струйный картридж БУЛАТ PFI-102MBK (0894B001) для Canon imagePROGRAF iPF500, iPF600, iPF700, LP17 (Матовый чёрный, 130 мл) pigment;50.0;bulat_2026-08-18_p15;;;DiW3uKDeib6LvFUHIPyxp0;4;1238;Картридж струйный Cactus CS-PFI102BK PFI-102 BK черный (130мл) для Canon iPF500/iPF600/iPF700/ MFP M40/iPF765/LP17/LP24 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, бренд";1243;Комплект картриджей PFI-102 Canon;5915;Печатающая головка Blossom BS-PF-03 для Canon iPF500/600/610/700/710/5000/6100/8000/9000;
bulat;GFCNPFI102030;Струйный картридж БУЛАТ PFI-102C (0896B001) для Canon imagePROGRAF iPF500, iPF600, iPF700, LP17 (Голубой, 130 мл);50.0;bulat_2026-08-18_p15;;;oIhrBO2LjXCYpvhQ0sKXP0;1;1239;Картридж струйный Cactus CS-PFI102C PFI-102 C синий (130мл) для Canon IP iPF500/iPF600/iPF700/ MFP M40/iPF765/LP17/LP24 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, бренд";;;;;
bulat;GFCNPFI102050;Струйный картридж БУЛАТ PFI-102Y (0898B001) для Canon imagePROGRAF iPF500, iPF600, iPF700, LP17 (Жёлтый, 130 мл);50.0;bulat_2026-08-18_p15;;;DDHczKt9jWhoyJ9Z6QLq01;1;1241;Картридж струйный Cactus CS-PFI102Y PFI-102 Y желтый (130мл) для Canon IP iPF500/iPF600/iPF700/MFP M40/iPF765/LP17/LP24 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, бренд";;;;;
