nm_id;артикул;название;ключей;макс_частота;топ-3 запроса;шт_3мес;выручка_3мес
400980112;5696;Чернила T7741 для Epson L605, L655 черный;1;1;черные чернила bk epson;0;0
264401062;0925;Картридж T1304XL для Epson Stylus SX620FW, WF-3010DW желтый;1;1;катриджи на epson 525;0;0
209779269;43665;Картридж для HP DJ Ink Advantage Ultra 4729;1;1;hp 2029 принтер катриджи;0;0
209713757;3693;Картриджи 728XXL для HP DJ T730, DJ T830;1;1;картридж design jet 730 для плотера;0;0
888371762;6881;Картридж 006R04389 для Xerox C230, C235 пурпурный;1;1;xerox 006r0388 картридж;0;0
192569253;4268;Картриджи 006R01701-006R01704 для Xerox C8070, C8070, C8070;1;1;херох картридж цветной;0;0
209732269;4694;Картридж №912C для HP OfficeJet 8013 голубой;1;1;картридж для принтера hp officejet 8013;0;0
964659373;436925;Картридж для HP ENVY 5032;1;1;hp envy 5032;0;0
964526142;437814;Картридж для HP DeskJet F4580;2;1;картриджи для принтера hp f4580 | катридж на принтер hp f4580;0;0
199334806;3199;Картридж SP-3710X для Ricoh 3710DN, 3710SF черный;1;1;sp3710x картридж;0;0
216360221;0832;Фотобарабан C-EXV14 DU для Canon iR 2318L, iR 2320 черный;1;1;canon ir 2420;0;0
548422678;6308;Картридж TN-2455 для Brother DCP-L2550DW, HL L2335D черный;1;1;dr 2405;0;0
263821105;1468;Картридж LC-1280XM для Brother MFC-J6710 пурпурный;1;1;картридж на принтер brother mfc j5910dw;0;0
964431814;016116;Картридж для Epson Stylus Photo 1410;1;1;эпсон 1410 катридж;0;0
964378826;01281;Картридж для Canon Pixma iP1500;1;1;картридж для принтера canon ip 1500;0;0
1024454333;7015;Картридж CTL-R2100HY для CP2100DN, CP2100DN желтый;1;1;cp2100dw;0;0
199332663;0755;Картридж CE273A для HP LJ CP5520, LJ CP5525 пурпурный;1;1;картридж gd th 270;0;0
261178783;5587;Картридж W1520A для HP LJ 4004, LJ 4104fdw черный;1;1;катридж на hp w1520a;0;0
199331678;0048;Картридж 106R01374 для Xerox Phaser 3250 черный;1;1;чип для принтера xerox phaser 3250;0;0
199574426;44816;Картридж для CM1100ADW;1;1;катридж для принтера панту cp1100dw;0;0
209664014;0859;Картридж TN-245Y для Brother HL-3170CDW, HL-3170CDW желтый;1;1;картридж желтый на бротхер 9020;0;0
199334794;3203;Картридж 106R03396 для Xerox VersaLink B7025 черный;1;1;картридж versaling 7035;0;0
216432053;2862;Картридж №727 для HP DJ T2500, DJ T2500, DJ T2500 пурпурный;1;1;чип картриджа hp 727;0;0
257806941;1191;Картридж CF226X для HP LJ Pro M402d, LJ Pro M402dn черный;1;1;cs-cf226x катоид;0;0
423181615;6195;Картридж W2203X для HP LJ Pro 4202, HP 4202cdn пурпурный;1;1;w2203;0;0
390789745;6077;Картридж TK-410 для Kyocera KM-1620, KM-1635, KM-2550 черный;1;1;дуплекс kyocera taskalfa180;0;0
200163118;14873;Картридж для Canon MAXIFY MB5040;1;1;pgi-2500;0;0
964371987;01301;Картридж для Canon Pixma iP3600;1;1;картиидж танчики;0;0
967381719;38082;Картридж для Lexmark CS417;1;1;lexmark z615 катридж;0;0
267892994;5548;Картридж 067M для Canon LBP631CW, LBP633Cdw пурпурный;1;1;картриджы на lbp633cdw;0;0
209663923;3074;Картридж 728XL для HP DJ T730, DJ T830 черный матовый;1;1;картридж design jet 730 для плотера;0;0
236322574;0786;Картридж CF353A для HP LJ Pro M176n пурпурный;1;1;картриджи в принтер hp 176;0;0
199330602;0106;Картридж CC532A для HP LJ CP2025n, LJ CP2025n желтый;1;1;cc532a;0;0
199565759;08385;Картридж для Epson Expression Home XP-306;1;1;картриджи для принтера epson xp 306;0;0
209664584;3520;Картридж T9443 для Epson WF Pro C5290 пурпурный;1;1;картридж для принтера epson c-5290;0;0
257945488;2866;Картриджи №727 для HP DJ T930, DJ T930, DJ T930;1;1;hp t1500 картридж чип;0;0
199332674;0761;Картридж CE271A для HP LJ CP5520, LJ CP5525 голубой;1;1;картридж gd th 270;0;0
964466744;01442;Картридж для Epson Stylus C41UX;1;1;картриджи для epson stylus c45;0;0
211441766;4767;Картриджи W2120X-W2123X для HP LJ M554, LJ M555, LJ M578;1;1;211441766;0;0
199569588;00185;Картридж для Canon FC-336;1;1;kju3536;0;0
888447946;6867;Картридж W2220X для HP LJ Pro 3203, LJ Pro 3288 черный;1;1;картридж w2220x;0;0
464458327;5029;Чернила T7741-1L для Epson ET-3600 AIO, L-1455, L605 черный;1;1;черные чернила bk epson;0;0
209663590;0055;Картридж CB543A для HP LJ CP1215, LJ CP1215 пурпурный;1;1;картридж для принтера hp cp1215;0;0
1196352325;57491;Картридж для Xerox B225;1;1;картридж на ксерокс в225;0;0
914358208;6774;Картридж TK-5370Y XL для Kyocera MA3500cifx желтый;1;1;tk-5370y;0;0
199570372;02542;Картридж для Xerox Phaser 3155;1;1;картридж для принтера phaser 3155;0;0
257945546;5376;Картридж 069H для Canon LBP673Cdw, MF752Cdw пурпурный;1;1;картриджи на кэнон mf754cdw;0;0
199565824;00748;Картридж для Brother DCP-7010;1;1;картридж brother dcp7010;0.0;0
964448310;37912;Картридж для Epson WorkForce Pro C8690;1;1;wf-c8690;0;0
209712324;3518;Картридж T9441 для Epson WF Pro C5210, WF Pro C5210 черный;1;1;картридж для принтера epson c-5290;0;0
199332658;0762;Картридж CE272A для HP LJ CP5520, LJ CP5525 желтый;1;1;картридж gd th 270;0;0
199334791;3202;Картридж 106R03395 для Xerox VersaLink B7025 черный;1;1;картридж versaling 7035;0;0
209664206;1336;Картридж 006R01175 для Xerox WC 7328, WC 7328 черный;1;1;006r01175;0;0
216401205;13254;Картридж для Ricoh Aficio SP150SUw;1;1;катридж для принтера ricoh sp 150 su;0;0
199335397;4267;Картридж 006R01704 для Xerox C8030, C8035, C8045 желтый;1;1;digital xerox ручной;0;0
964520040;01921;Картридж для HP DeskJet D1663;1;1;картриджи hp deskjet d1663;0;0
209663868;0275;Картридж MLT-D105S для Samsung ML-1910, ML-1915 черный;2;1;картридж mlt-d105s | картридж на принтер самсунг mlt -d105s;0.0;0
236322693;5341;Картридж MLT-D119S для Samsung ML-1610, ML-1615 черный;1;1;катридж 1610/pe220/119s uni;0;0
216422256;00874;Картридж для HP LaserJet Pro M1212;1;1;картридж на принтер m1212;0.0;0
216448724;239326;Комплект картриджей для Canon SELPHY CP910;2;1;canon selphy cp1200 | canon selphy cp 910;0;0
199574228;35741;Картридж для HP Laser 408 dn;1;1;hp laserp1005;0;0
216424934;02371;Картридж для Kyocera FS-1035;1;1;картридж fs1035 mfp;0.0;0
209714647;34867;Картридж для Canon Pixma MG2545;1;1;картриджи для принтера canon mb5150 pgi-2500;0;0
200164919;020042;Картридж для HP DeskJet F335;1;1;картридж нp phоtоsmаrt 335;0;0
964365242;04425;Картридж для Canon FAX-L240;1;1;картридж canon 220-240;0;0
200162877;02865;Картридж для Canon Pixma MP252;1;1;картриджи для принтера canon pixma mp252;0;0
550209275;6684;Картриджи 113R00779 DU+106R03396 для Xerox черный;1;1;картридж versaling 7035;0;0
200165169;03072;Картридж для HP PhotoSmart 2573;1;1;hp photosmart 2573;0;0
550157216;6682;Фотобарабан + картридж DR-P01 DU+TNP-24 для Konica Minolta;1;1;картридж minican 3;0;0
199332962;0992;Картридж 44469809 для OKI C310dn, c310n, c330 черный;1;1;картоидж 44469809;0.0;0
209663589;1242;Картридж PFI-102MBK для Canon iPF710, iPF720 черный матовый;1;1;картридж canon pfi-102 матовый черный 130мл;0;0
860411681;019611;Картридж для HP DeskJet 6983;1;1;картридж для принтера deskjet6983;0;0
216360315;3616;Фотобарабан 113R00779 DU для Xerox VersaLink B7025 черный;1;1;картридж versaling 7035;0;0
199565454;00282;Картридж для HP LaserJet 1320N;1;1;картридж laserjet 1320n;0;0
257945550;5377;Картридж 069H для Canon LBP673Cdw, MF752Cdw желтый;2;1;картриджи на кэнон mf754cdw | картридж на canon  нв-069н вк;0;0
1002468267;02834;Картридж для Canon MX310;1;1;картриджи для принтера canon 310;0;0
216361994;53463;Картридж для Xerox Phaser 3121;2;1;xerox 3121 | картридж для принтера xerox phaser 3130;0;0
199331682;0088;Картридж CE278A для HP LJ Pro M1536dnf, LJ Pro P1560 черный;1;1;лазерный катридж ce278a;0;0
216356378;08553;Фотобарабан для Brother MFC-8515DN;1;1;картридж для brother 8950;0.0;0
964246397;02346;Картридж для Panasonic KX-MB2061;1;1;картридж panasonic kx-mb2061;0;0
209714351;23126;Картридж для HP DJ Ink Advantage 2545 All-in-One;1;1;картридж для advantage 2545;0.0;0
216458370;23934;Комплект картриджей для Canon SELPHY CP220;1;1;катридж для canon selphy cp500;0;0
900581166;6837;Картридж 064HC для Canon LBP722Cdw, MF832Cdw голубой;1;1;картридж на lbp722cdw;0;0
216432300;3071;Картридж 728XL для HP DJ T730, DJ T830 желтый;1;1;картридж design jet 730 для плотера;0;0
967399135;02652;Картридж для Samsung CLP-315;1;1;samsung clp-315 картридж;0;0
209665689;3429;Картридж TN-213Y для Brother DCP-L3550, HL-L3230CDW желтый;1;1;катридж нт 213;0;0
209759304;23958;Картридж для Canon Pixma MX534;1;1;кртриджи для canon pixma mx534;0;0
964398118;375513;Чернила для Canon Pixma G4410;1;1;краска для принтера квадратная краска;0;0
199330533;0236;Картридж TK-1130 для Kyocera M2030DN, FS-1030DP черный;1;1;картридж kyocera tk-1130;0;0
967328868;01354;Картридж для Canon Pixma iP4300;1;1;картриджи для струйного принтера canon pixma ip4300;0;0
192568848;2430;Картриджи MPC2503 для Ricoh MPC2003, MPC2004, MPC2011;1;1;ricoh mpc2503;0;0
267857354;5704;Картридж TN-1070 для Avision AM30A MFP, AP30A черный;1;1;картиридж avision;0;0
964373051;01309;Картридж для Canon Pixma MP640;1;1;купить кассету на ксерокс canon pixma ip6210d;0;0
199574590;53402;Картридж для Xerox Phaser 3122;1;1;картридж gd-ts xerox phaser 3117;0;0
349970682;5879;Фотобарабан 55B0ZA0 для Lexmark MS331, MS431, MX331 черный;1;1;55b0za0;0;0
1003254730;33551;Картридж для HP OfficeJet Pro-8210;1;1;hp officejet pro 8210 картриджи;0;0
200162935;02867;Картридж для Canon Pixma MP230;2;1;canon pixma mp 230 кадридж | картридж для принтера mp 230;0;0
216362004;53466;Картридж для Xerox Phaser 3132;1;1;картридж для принтера xerox phaser 3130;0;0
209731665;4395;Картридж CL-441 для Canon Pixma MG4140, Pixma MG4240;4;1;картридж для canon mg4240 | картридж кэнон тс3640 | катридж на canon mg 4240;0;0
236322626;3706;Фотобарабан 029 для Canon LBP-7010, LBP-7018 черный;1;1;барабан канон 7010;0;0
200164082;019851;Картридж для HP PhotoSmart C4580;1;1;c4580 картридж;0;0
199570121;006012;Картридж для Canon i-SENSYS LBP-6680x;1;1;картридж на canon lbp 6310;0;0
964919775;3529;Картриджи 53601-53604 для Primera Bravo 4100;1;1;картридж для принтера primera;0;0
548298606;6648;Фотобарабан + картридж C-EXV14 DU+C-EXV14 для Canon черный;1;1;canon ir 2420;0;0
199334884;3514;Картридж CLT-M503L для Samsung SL-C3010, SL-C3060 пурпурный;1;1;samsung c 3010;0;0
209714709;53462;Картридж для Xerox Phaser 3120;1;1;картридж для принтера xerox phaser 3130;0;0
209715103;1179;Картриджи CF320A-CF323A для HP LJ M680, LJ M680, LJ M680;1;1;картридж hp cf320a черный;0;0
914521232;6760;Фотобарабан W1580D для HP LJ Tank 1020w черный;1;0;драм картридж на hp laser jet tank mfp2606 dn;0;0
199574448;;;1;0;"rfhnhbl; lkz  pantum cm1100dw";0;0
209722372;1431;Картридж 34016HE для Lexmark E330, E340 черный;1;0;картридж lexmark 24036se;0;0
439261414;6251;Картридж W2221A для HP LJ Pro 3203, LJ Pro 3288 голубой;1;0;катриджи для лазерного 2221 а;0;0
209754706;07483;Картридж для HP LaserJet CP3525x;1;0;cp3525;0;0
1004157034;6996;Фотобарабан + картридж W1580D+W1580X для HP черный;1;0;драм картридж на hp laser jet tank mfp2606 dn;0;0
257945727;5487;Картридж 069 C для Canon LBP673Cdw, MF752Cdw голубой;1;0;картриджи для canon i-sensys mf752cdw;0;0
209664628;0965;Картридж 72M для HP DJ T1708, DJ T2300, DJ T1708 пурпурный;1;0;hp t770 набор картриджей;0;0
216429662;1949;Фотобарабан DK-110 DU для Kyocera FS-1016MFP, FS-720 черный;1;0;катридж для kyocera fs 1016mfp;0;0
263820513;0595;Картридж LC-1100BK для Brother DCP-145C, DCP-163C черный;1;0;картридж 980 1100 hybk;0;0
181095504;;;1;0;картридж 45 для hp;0;0
209713176;1725;Картридж 24036SE для Lexmark E230, E232, E240, E332n черный;1;0;картридж lexmark 24036se;0;0
181123617;1171;Фотобарабан DR-1075 DU для Brother DCP-1510, HL-1110 черный;1;1;картриджи для принтера бразер br 1075;0.0;-177
