код;внешний код;наименование МС;Название WB (соберём);бренды ТК
;0271;Совместимый картридж Cactus CS-CLT-M407S;Картридж CLT-M407S для Samsung пурпурный;Samsung
;0271;Совместимый картридж Colortek CLT-M407S;Картридж CLT-M407S для Samsung пурпурный;Samsung
;0272;Совместимый картридж Cactus CS-CLT-Y407S;Картридж CLT-Y407S для Samsung желтый;Samsung
;0272;Совместимый картридж Colortek CLT-Y407S;Картридж CLT-Y407S для Samsung желтый;Samsung
;0274;Совместимый картридж Colortek MLT-D101S;Картридж MLT-D101S для Samsung черный;Samsung
0274cs;0274;"Картридж лазерный G&G GG-D101S черный (1500стр.) для Samsung Samsung ML-2160/ML-2161/ML-2165W/ML-2162/ML-2165/ML-2166/ML-2168/ML-2164/ML-2164W/ML-2167/ML-2168W; SCX-3400/SCX-3405/SCX-3405W/SCX-3405FW/SCX-3407/SCX-3400F/SCX-3405F/SCX-3405FW; SF-760P";Картридж MLT-D101S для Samsung черный;Samsung
;0276;Совместимый картридж Colortek MLT-D105L;Картридж MLT-D105L для Samsung черный XL ресурс;Samsung
;0276;Совместимый картридж Colortek MLT-D105L;Картридж MLT-D105L для Samsung черный XL ресурс;Samsung
0276cs;0276;"Картридж лазерный G&G GG-D105L черный (2500стр.) для Samsung ML-1910/1915/1916K/2525K/1911;SCX-4600/4605K/4610K/4623K";Картридж MLT-D105L для Samsung черный XL ресурс;Samsung
0277cs;0277;Картридж лазерный Print-Rite TFSFCTBPU1J PR-MLT-D103L MLT-D103L черный (2500стр.) для Samsung SCX-4728FD/ML-2955ND/2955DW;Картридж MLT-D103L для Samsung черный XL ресурс;Samsung
0279cs;0279;Картридж лазерный G&G GG-D205L черный (5000стр.) для Samsung ML-3710ND/ML-3712DW/SCX-5639FW/SCX-5637FR;Картридж MLT-D205L для Samsung черный;Samsung
0280cs;0280;Картридж лазерный G&G GG-D104S черный (1500стр.) для Samsung ML-1660K, ML-1665K, 1661K, ML-1660, ML-1665, ML-1865W, ML-1666, ML-1860, ML-1673, ML-1674, ML-1673DCS, ML-1865K, ML-1864K, ML-1861K, ML-1865DCS, ML-1865WK, ML-1865EXP, SCX-3200, SCX-3210, S;Картридж MLT-D104S для Samsung черный;Samsung
;0282;Совместимый картридж Colortek BCI-3eBK;Картридж BCI-3EBK для Canon 4479A002 черный;Canon
;0285;Совместимый картридж Colortek PG-510BK;Картридж PG-510BK для Canon 2970B007 черный;Canon
;0286;Совместимый картридж Colortek PG-512;Картридж PG-512BK для Canon 2969B007 черный;Canon
;0289;Совместимый картридж Colortek T007;Картридж T007 для Epson C13T00740110 черный;Epson
;0289;Совместимый картридж ProfiLine T007;Картридж T007 для Epson C13T00740110 черный;Epson
;0289;Совместимый картридж Colouring T007;Картридж T007 для Epson C13T00740110 черный;Epson
;0289;Двойная упаковка картриджей Epson T007 Twin;Картридж T007 для Epson C13T00740110 черный;Epson
;0290;Совместимый картридж Colortek T008;Картридж T008 для Epson голубой/пурпурный/желтый/светло-голубой/светло-пурпурный;Epson
;0291;Совместимый картридж SuperFine T0481;Картридж T0481 для Epson C13T04814010 черный;Epson
;0291;Совместимый картридж Colortek T0481;Картридж T0481 для Epson C13T04814010 черный;Epson
;0291;Совместимый картридж ProfiLine T0481;Картридж T0481 для Epson C13T04814010 черный;Epson
;0292;Совместимый картридж MyInk T0482;Картридж T0482 для Epson C13T048240 голубой;Epson
;0292;Совместимый картридж SuperFine T0482;Картридж T0482 для Epson C13T048240 голубой;Epson
;0292;Совместимый картридж Colortek T0482;Картридж T0482 для Epson C13T048240 голубой;Epson
;0292;Совместимый картридж ProfiLine T0482;Картридж T0482 для Epson C13T048240 голубой;Epson
;0293;Совместимый картридж SuperFine T0483;Картридж T0483 для Epson C13T048340 пурпурный;Epson
;0293;Совместимый картридж Colortek T0483;Картридж T0483 для Epson C13T048340 пурпурный;Epson
;0293;Совместимый картридж ProfiLine T0483;Картридж T0483 для Epson C13T048340 пурпурный;Epson
;0294;Совместимый картридж SuperFine T0484;Картридж T0484 для Epson C13T048440 желтый;Epson
;0294;Совместимый картридж Colortek T0484;Картридж T0484 для Epson C13T048440 желтый;Epson
;0294;Совместимый картридж ProfiLine T0484;Картридж T0484 для Epson C13T048440 желтый;Epson
;0295;Совместимый картридж SuperFine T0485;Картридж T0485 для Epson C13T048540 светло-голубой;Epson
;0295;Совместимый картридж Colortek T0485;Картридж T0485 для Epson C13T048540 светло-голубой;Epson
;0295;Совместимый картридж ProfiLine T0485;Картридж T0485 для Epson C13T048540 светло-голубой;Epson
;0296;Совместимый картридж SuperFine T0486;Картридж T0486 для Epson C13T048640 светло-пурпурный;Epson
;0296;Совместимый картридж Colortek T0486;Картридж T0486 для Epson C13T048640 светло-пурпурный;Epson
;0296;Совместимый картридж ProfiLine T0486;Картридж T0486 для Epson C13T048640 светло-пурпурный;Epson
;0297;Совместимый картридж SuperFine T0801;Картридж T0801 для Epson C13T08014011 черный;Epson
;0298;Совместимый картридж SuperFine T0802;Картридж T0802 для Epson C13T08024011 голубой;Epson
;0299;Совместимый картридж SuperFine T0803;Картридж T0803 для Epson C13T08034011 пурпурный;Epson
;0300;Совместимый картридж SuperFine T0804;Картридж T0804 для Epson c13t08044011 желтый;Epson
;0301;Совместимый картридж SuperFine T0805;Картридж T0805 для Epson C13T08054011 светло-голубой;Epson
;0302;Совместимый картридж SuperFine T0806;Картридж T0806 для Epson C13T08064011 светло-пурпурный;Epson
;0303;* Восстановленный картридж SuperFine 27;Картридж 27 для HP C8727AE черный;HP
;0304;* Восстановленный картридж Colortek C8728AE;Картридж 28 для HP C8728A цветной;HP
;0305;* Восстановленный картридж Colortek 51645AE;Картридж 45 для HP 51645A черный;HP
0305cs;0305;Картридж струйный G&G GG-C51645A черный (44мл) для HP DJ 710c/720c/722c/815c/820cXi/850c/870cXi/880c;Картридж 45 для HP 51645A черный;HP
;0306;* Восстановленный картридж Colortek C6578AE;Картридж 78 для HP C6578A цветной XL ресурс;HP
;0307;* Восстановленный картридж Colortek 129;Картридж 129 для HP C9364H черный;HP
;0307;* Восстановленный картридж SuperFine 129;Картридж 129 для HP C9364H черный;HP
0307-or;0307;Картридж hp 129 BK OR;Картридж 129 для HP C9364H черный;HP
;0308;* Восстановленный картридж Colortek 135;Картридж 135 для HP C8766НE цветной;HP
;0308;* Восстановленный картридж SuperFine 135;Картридж 135 для HP C8766НE цветной;HP
;0308;* Восстановленный картридж Cactus CS-135;Картридж 135 для HP C8766НE цветной;HP
0308-or;0308;Картридж 135 color HP;Картридж 135 для HP C8766НE цветной;HP
;0309;* Восстановленный картридж SuperFine 132;Картридж 132 для HP C9362HE черный;HP
;0310;* Восстановленный картридж Colortek 134;Картридж 134 для HP C9363HE цветной;HP
;0310;* Восстановленный картридж SuperFine 134;Картридж 134 для HP C9363HE цветной;HP
;0310;* Восстановленный картридж Cactus CS-134;Картридж 134 для HP C9363HE цветной;HP
;0311;* Восстановленный картридж Colortek 136;Картридж 136 для HP C9361HE цветной;HP
;0312;Совместимый Фотокартридж SuperFine 138;Картридж 138 для HP черный/светло-голубой/светло-пурпурный;HP
;0313;Совместимый картридж Colortek C4844AE;Картридж 10 для HP C4844A черный;HP
0314-or;0314;Картридж hp 11 голубой HP;Картридж 11 для HP C4836A голубой;HP
0315-or;0315;Картридж hp 11 пурпурный HP;Картридж 11 для HP C4837A пурпурный;HP
0316-or;0316;Картридж hp 11 желтый HP;Картридж 11 для HP C4838A желтый;HP
;0317;Совместимый картридж Cactus CS-82C;Картридж 82C для HP C4911A голубой;HP
;0318;Совместимый картридж Cactus CS-82M;Картридж 82M для HP C4912A пурпурный;HP
0318cs;0318;Картридж струйный G&G GG-C4912A № 82 пурпурный (72мл) для HP DJ 500/800C;Картридж 82M для HP C4912A пурпурный;HP
;0319;Совместимый картридж Cactus CS-82Y;Картридж 82Y для HP C4913A желтый;HP
0319cs;0319;Картридж струйный G&G GG-C4913A № 82 желтый (72мл) для HP DJ 500/800C;Картридж 82Y для HP C4913A желтый;HP
0320cs;0320;Картридж струйный G&G GG-C565A черный (72мл) для HP DJ 510;Картридж 82BK для HP CH565A черный;HP
0325cs;0325;Картридж струйный G&G GG-CD975AE черный (56.6мл) для HP Officejet 6000/6500/6500A/7000/7500A;Картридж 920XLBK для HP CD975A черный XL ресурс;HP
0326cs;0326;Картридж струйный G&G GG-CD972AE голубой (14.6мл) для HP Officejet 6000/6500/6500A/7000/7500A;Картридж 920XLC для HP CD972A голубой XL ресурс;HP
0327cs;0327;Картридж струйный G&G GG-CD973AE пурпурный (14.6мл) для HP Officejet 6000/6500/6500A/7000/7500A;Картридж 920XLM для HP CD973A пурпурный XL ресурс;HP
;0328;Совместимый картридж Colortek CN684HE;Картридж 178XL для HP CN684H черный XL ресурс;HP
;0328;Совместимый картридж SuperFine 178XL;Картридж 178XL для HP CN684H черный XL ресурс;HP
;0328;Совместимый картридж Colouring 178XL;Картридж 178XL для HP CN684H черный XL ресурс;HP
;0329;Совместимый Фотокартридж Cactus 178XL PBk;Картридж 178XL для HP CB322HE фото-черный XL ресурс;HP
;0329;Совместимый Фотокартридж SuperFine 178XL PBk;Картридж 178XL для HP CB322HE фото-черный XL ресурс;HP
;0329;Совместимый картридж Colouring 178XL PBk;Картридж 178XL для HP CB322HE фото-черный XL ресурс;HP
;0330;Совместимый картридж SuperFine 178XL C;Картридж 178XL для HP CB323H голубой XL ресурс;HP
;0330;Совместимый картридж Colouring 178XL C;Картридж 178XL для HP CB323H голубой XL ресурс;HP
;0331;Совместимый картридж SuperFine 178XL M;Картридж 178XL для HP CB324H пурпурный XL ресурс;HP
;0331;Совместимый картридж Colouring 178XL M;Картридж 178XL для HP CB324H пурпурный XL ресурс;HP
;0332;Совместимый картридж SuperFine 178XL Y;Картридж 178XL для HP CB325H желтый XL ресурс;HP
;0332;Совместимый картридж Colouring 178XL Y;Картридж 178XL для HP CB325H желтый XL ресурс;HP
;0335;* Набор восстановленных картриджей HP 45+78;Набор картриджей 45-78 для HP 51645A-C6578A XL ресурс;HP
;0338;* Набор восстановленных картриджей Colortek 121XL Bk+Col;Набор картриджей 121XL для HP CC641HE-CC644HE XL ресурс;HP
0346cs;0346;Картридж лазерный G&G GG-CE400A черный (5500стр.) для HP LJ Enterprise 500 M551n/MFP M575dn/MFP M570dn;Картридж CE400A для HP 507A черный;HP
0348cs;0348;Картридж лазерный G&G GG-CE401A голубой (6000стр.) для HP LJ Enterprise 500 M551n/MFP M575dn/MFP M570dn;Картридж CE401A для HP 507A голубой;HP
0349cs;0349;Картридж лазерный G&G GG-CE402A желтый (6000стр.) для HP LJ Enterprise 500 M551n/MFP M575dn/MFP M570dn;Картридж CE402A для HP 507A желтый;HP
0350cs;0350;Картридж лазерный G&G GG-CE403A пурпурный (6000стр.) для HP LJ Enterprise 500 M551n/MFP M575dn/MFP M570dn;Картридж CE403A для HP 507A пурпурный;HP
0379cs;0379;Картридж лазерный G&G GG-C9730A C9730A черный (13000стр.) для HP CLJ 5500/5500n/5500dn/5500hdn/5500dtn/5550/5550n/5550dtn/5550hdn;Картридж C9730A для HP 645A черный;HP
0380cs;0380;Картридж струйный G&G GG-CD974AE желтый (14.6мл) для HP Officejet 6000/6500/6500A/7000/7500A;Картридж 920XLY для HP CD974A желтый XL ресурс;HP
0394sk;0394;Картридж Sakura Q3962A (122A) для HP LJ 3000N/LJ 2550N/LJ 2820/LJ 2840/LJ 3000/LJ 3000DN/LJ 3000DTN/LJ 2550/LJ 2550L/LJ 2550LN, желтый, 4000 к.;Картридж Q3962A для HP 122A желтый;HP
;0409;Совместимый картридж SolutionPrint CE262A;Картридж CE262A для HP 648A желтый;HP
;0410;Совместимый картридж SuperFine CE263A;Картридж CE263A для HP 648A пурпурный;HP
0419-or;0419;Оригинальный картридж HP 92298X;Картридж 92298X для HP 98X черный XL ресурс;HP, Canon
;0425;Совместимый Фото картридж Colortek 58;Картридж 58 для HP C6658A фото-черный;HP
0426-or;0426;Картридж hp 23 OR;Картридж 23 для HP C1823D цветной;HP
;0427;Совместимый картридж Colortek 20;Картридж 20 для HP C6614AE черный;HP
0428-or;0428;Картридж HP 29 (51629A) Original;Картридж 29 для HP 51629A черный;HP
;0430;Совместимый картридж Colortek C6615DE;Картридж 15 для HP С6615A черный;HP
;0434;Совместимый картридж Cactus CS-901XL;Картридж 901XL для HP CC654A черный XL ресурс;HP
;0434;Совместимый картридж Colortek CC654AE;Картридж 901XL для HP CC654A черный XL ресурс;HP
0434-or;0434;Картридж HP 901XL OR;Картридж 901XL для HP CC654A черный XL ресурс;HP
;0437;Совместимый картридж NVP 713;Картридж 713 для Canon 1871B002 черный;Canon
;0446;Совместимый картридж Colortek BCI-6C;Картридж BCI-3EC для Canon 4480A002 голубой;Canon
;0447;Совместимый картридж Colortek BCI-6Y;Картридж BCI-3EY для Canon 4482A002 желтый;Canon
;0448;Совместимый картридж Colortek BCI-6M;Картридж BCI-3EM для Canon 4481A002 пурпурный;Canon
;0449;Совместимый картридж Canon BCI-6PC;Картридж BCI-6PC для Canon 4709A002 фото-голубой;Canon
;0451;Совместимый картридж ProfiLine BCI-6BK;Картридж BCI-6BK для Canon 4705A002 черный;Canon
;0451;Совместимый картридж Cactus BCI-6BK;Картридж BCI-6BK для Canon 4705A002 черный;Canon
;0479;Совместимый картридж SolutionPrint T026;Картридж T026 для Epson C13T02640110 черный;Epson
;0479;Совместимый картридж ProfiLine T026;Картридж T026 для Epson C13T02640110 черный;Epson
;0480;Совместимый картридж ProfiLine T027;Картридж T027 для Epson C13T02740110 цветной;Epson
;0480;Совместимый картридж Colortek T027;Картридж T027 для Epson C13T02740110 цветной;Epson
;0482;Совместимый картридж Colortek T037;Картридж T037 для Epson C13T037040 цветной;Epson
;0483;Совместимый картридж Colortek T040;Картридж T040 для Epson C13T04014010 черный;Epson
;0483;Совместимый картридж Colouring T040;Картридж T040 для Epson C13T04014010 черный;Epson
;0483;Совместимый картридж Colortek T040;Картридж T040 для Epson C13T04014010 черный;Epson
;0483;Совместимый картридж Colouring T040;Картридж T040 для Epson C13T04014010 черный;Epson
;0484;Совместимый картридж Colortek T041;Картридж T041 для Epson C13T041040 цветной;Epson
;0484;Совместимый картридж Colortek T041;Картридж T041 для Epson C13T041040 цветной;Epson
;0490;Совместимый картридж Colortek T0442;Картридж T0442 для Epson C13T04424010 голубой;Epson
;0491;Совместимый картридж Colortek T0443;Картридж T0443 для Epson C13T04434010 пурпурный;Epson
;0497;Совместимый картридж SuperFine T0551;Картридж T0551 для Epson C13T05514010 черный;Epson
;0498;Совместимый картридж SuperFine T0552;Картридж T0552 для Epson C13T05524010 голубой;Epson
;0499;Совместимый картридж SuperFine T0553;Картридж T0553 для Epson C13T05534010 пурпурный;Epson
;0500;Совместимый картридж SuperFine T0554;Картридж T0554 для Epson C13T05544010 желтый;Epson
0538cs;0538;Картридж лазерный CopyRite CR-KYTK710 TK-710 черный (40000стр.) для Kyocera FS-9530;Картридж TK-710 для Kyocera черный;Kyocera
0561cs;0561;Картридж лазерный G&G GG-TK475 черный (15000стр.) для Kyocera FS-6025/B/6030;Картридж TK-475 для Kyocera черный;Kyocera
0581hb;0581;Тонер-картридж Hi-Black (HB-TN-230M) для Brother HL-3040CN/3070CW/MFC9010CN/9120, M, 1,4K;Картридж TN-230M для Brother пурпурный;Brother
;0588;Совместимый картридж Colortek LC-900C;Картридж LC-900C для Brother голубой;Brother
;0588;Совместимый картридж SuperFine LC-900C;Картридж LC-900C для Brother голубой;Brother
;0588;Совместимый картридж MyInk LC-900C;Картридж LC-900C для Brother голубой;Brother
;0589;Совместимый картридж Colortek LC-900M;Картридж LC-900M для Brother пурпурный;Brother
;0589;Совместимый картридж MyInk LC-900M;Картридж LC-900M для Brother пурпурный;Brother
;0590;Совместимый картридж Colortek LC-900Y;Картридж LC-900Y для Brother желтый;Brother
;0590;Совместимый картридж SuperFine LC-900Y;Картридж LC-900Y для Brother желтый;Brother
;0593;Совместимый картридж Brother LC-1000M;Картридж LC-1000M для Brother пурпурный;Brother
;0594;Совместимый картридж Brother LC-1000Y;Картридж LC-1000Y для Brother желтый;Brother
;0594;Совместимый картридж Brother LC-1000Y;Картридж LC-1000Y для Brother желтый;Brother
;0595;Совместимый картридж InkTec LC-980BK;Картридж LC-1100BK для Brother черный;Brother
;0595;Совместимый картридж Colortek LC-980BK;Картридж LC-1100BK для Brother черный;Brother
;0596;Совместимый картридж InkTec LC-980C;Картридж LC-1100C для Brother голубой;Brother
;0596;Совместимый картридж Colortek LC-980C;Картридж LC-1100C для Brother голубой;Brother
;0597;Совместимый картридж InkTec LC-980M;Картридж LC-1100M для Brother пурпурный;Brother
;0597;Совместимый картридж Colortek LC-980M;Картридж LC-1100M для Brother пурпурный;Brother
;0598;Совместимый картридж InkTec LC-980Y;Картридж LC-1100Y для Brother желтый;Brother
;0598;Совместимый картридж Colortek LC-980Y;Картридж LC-1100Y для Brother желтый;Brother
0617cs;0617;Картридж лазерный CopyRite CR-XE106R01294 106R01294 черный (35000стр.) для Xerox Phaser 5550;Картридж 106R01294 для Xerox черный;Xerox
0618cs;0618;Картридж лазерный CopyRite CR-XE113R00668 113R00668 черный (30000стр.) для Xerox Phaser 5500;Картридж 113R00668 для Xerox черный;Xerox
;0681;Совместимый картридж SolutionPrint 1270D;Картридж 1270D для Ricoh 888261 черный;Ricoh
;0682;Совместимый картридж SolutionPrint 1230D;Картридж 1230D для Ricoh MP2000 черный;Ricoh
;0698;Совместимый картридж NVP CLP-510D7K;Картридж CLP-510BK для Samsung черный;Samsung
;0699;Совместимый картридж NVP CLP-510D5C;Картридж CLP-510C для Samsung голубой;Samsung
;0700;Совместимый картридж NVP CLP-510D5M;Картридж CLP-510M для Samsung пурпурный;Samsung
;0701;Совместимый картридж NVP CLP-510D5Y;Картридж CLP-510Y для Samsung желтый;Samsung
;0710;Совместимый картридж SuperFine AR016T;Картридж AR016LT для Sharp черный;Sharp
0713cs;0713;Картридж лазерный G&G GG-C8543X черный (30000стр.) для HP LJ 9000/9040/9050;Картридж C8543X для HP 43X черный XL ресурс;HP
;0714;Совместимый картридж ProfiLine 718Bk;Картридж 718 BK для Canon 2662B005 черный с чипом;Canon
0714cs;0714;Картридж лазерный G&G GG-C718BK черный (3400стр.) для Canon MF8330i/MF8330/MF8350/LBP7200;Картридж 718 BK для Canon 2662B005 черный с чипом;Canon
;0715;Совместимый картридж ProfiLine 718C;Картридж 718C для Canon 2661b002 голубой с чипом;Canon
0715cs;0715;Картридж лазерный G&G GG-C718C голубой (2900стр.) для Canon MF8330i/MF8330/MF8350/LBP7200;Картридж 718C для Canon 2661b002 голубой с чипом;Canon
;0716;Совместимый картридж ProfiLine 718M;Картридж 718M для Canon 2660B002 пурпурный с чипом;Canon
0716cs;0716;Картридж лазерный G&G GG-C718M пурпурный (2900стр.) для Canon MF8330i/MF8330/MF8350/LBP7200;Картридж 718M для Canon 2660B002 пурпурный с чипом;Canon
;0717;Совместимый картридж ProfiLine 718Y;Картридж 718Y для Canon 2659B002 желтый с чипом;Canon
0717cs;0717;Картридж лазерный G&G GG-C718Y желтый (2900стр.) для Canon MF8330i/MF8330/MF8350/LBP7200;Картридж 718Y для Canon 2659B002 желтый с чипом;Canon
;0718;Набор совместимых картриджей Colortek 718;Набор картриджей 718 для Canon 2662B002 с чипом;Canon
;0721;Набор совместимых картриджей Colortek CLT-407S;Набор картриджей CLT-407 для Samsung;Samsung
;0723;Совместимый картридж Cactus CS-CF210A;Картридж CF210A для HP 131A черный;HP
;0723;Совместимый картридж NVP 731BK;Картридж CF210A для HP 131A черный;HP
;0723;Совместимый картридж Colortek CF210A;Картридж CF210A для HP 131A черный;HP
0723cs;0723;Картридж лазерный G&G GG-CF210A черный (1600стр.) для HP LJ Pro 200 color Printer M251n/nw/MFP M276n/nw, LBP7100Cn/7110Cw;Картридж CF210A для HP 131A черный;HP
0723cs;0723;Картридж лазерный Print-Rite TFH992BPU1J PR-CF210A CF210A черный (1600стр.) для HP LJ Pro 200/M251/M276;Картридж CF210A для HP 131A черный;HP
;0724;Совместимый картридж Cactus CS-CF210X;Картридж CF210X для HP 131X черный XL ресурс;HP
;0724;Совместимый картридж Colortek CF210X;Картридж CF210X для HP 131X черный XL ресурс;HP
0724cs;0724;Картридж лазерный G&G GG-CF210X черный (2400стр.) для HP HP LJ Pro 200 color Printer M251n/nw/MFP M276n/nw, Canon LBP-7100Cn/7110Cw Canon;Картридж CF210X для HP 131X черный XL ресурс;HP
;0725;Совместимый картридж Cactus CS-CF211A;Картридж CF211A для HP 131A голубой;HP
0725cs;0725;Картридж лазерный G&G GG-CF211A голубой (1800стр.) для HP HP LJ Pro 200 color Printer M251n/nw/MFP M276n/nw, Canon LBP-7100Cn/7110Cw Canon;Картридж CF211A для HP 131A голубой;HP
;0726;Совместимый картридж Cactus CS-CF212A;Картридж CF212A для HP 131A желтый;HP
;0726;Совместимый картридж Colortek CF212A;Картридж CF212A для HP 131A желтый;HP
0726cs;0726;Картридж лазерный G&G GG-CF212A желтый (1800стр.) для HP HP LJ Pro 200 color Printer M251n/nw/MFP M276n/nw, Canon LBP-7100Cn/7110Cw;Картридж CF212A для HP 131A желтый;HP
;0727;Совместимый картридж Cactus CS-CF213A;Картридж CF213A для HP 131A пурпурный;HP
;0727;Совместимый картридж Colortek CF213A;Картридж CF213A для HP 131A пурпурный;HP
0727cs;0727;Картридж лазерный G&G GG-CF213A пурпурный (1800стр.) для HP LJ Pro 200 color Printer M251n/nw/MFP M276n/nw;Картридж CF213A для HP 131A пурпурный;HP
;0734;Совместимый картридж Cactus CS-106R02183;Картридж 106R02183 для Xerox черный;Xerox
;0734;Совместимый картридж Colortek 106R02183;Картридж 106R02183 для Xerox черный;Xerox
0734cs;0734;"Картридж лазерный G&G GG-106R02183 черный (2300стр.) для Xerox Phaser 3010/3040;Workentre 3045";Картридж 106R02183 для Xerox черный;Xerox
;0736;Совместимый картридж Colouring MLT-D209L;Картридж MLT-D209L для Samsung черный;Samsung
;0736;Совместимый картридж ProfiLine MLT-D209L;Картридж MLT-D209L для Samsung черный;Samsung
0736cs;0736;Картридж лазерный G&G GG-D209L черный (5000стр.) для Samsung ML-2855ND, SCX-4824FN/4825FN/4826FN/4828FN;Картридж MLT-D209L для Samsung черный;Samsung
0738np;0738;Картридж NetProduct (N-MLT-D305L) для Samsung ML-3750ND, 15K;Картридж MLT-D305L для Samsung черный;Samsung
0740cs;0740;Картридж лазерный G&G GG-Q6000A черный (2500стр.) для HP CLJ 1600/2600/2605N, LBP 5000/5100 Canon;Картридж Q6000A для HP 124A черный;HP
0741cs;0741;Картридж лазерный G&G GG-Q6001A голубой (2000стр.) для HP CLJ 1600/2600/2605N, LBP 5000/5100 Canon;Картридж Q6001A для HP 124A голубой;HP
0742cs;0742;Картридж лазерный G&G GG-Q6002A желтый (2000стр.) для HP CLJ 1600/2600/2605N, LBP 5000/5100 Canon;Картридж Q6002A для HP 124A желтый;HP
0743cs;0743;Картридж лазерный G&G GG-Q6003A пурпурный (2000стр.) для HP CLJ 1600/2600/2605N, LBP 5000/5100 Canon;Картридж Q6003A для HP 124A пурпурный;HP
;0744;Совместимый картридж NVP CE255X;Картридж CE255X для HP 55X черный XL ресурс;HP
0744cs;0744;Картридж лазерный G&G GG-CE255X черный (12500стр.) для HP LJ Enterprise MFP M525c/P3015n/LJ Pro M521dn MFP;Картридж CE255X для HP 55X черный XL ресурс;HP
0745cs;0745;Картридж лазерный G&G GG-CE255A черный (6000стр.) для HP LJ Enterprise MFP M525c/P3015n/LJ Pro M521dn MFP/M521dw MFP;Картридж CE255A для HP 55A черный;HP
0746cs;0746;Картридж лазерный G&G GG-CF280A черный (2700стр.) для HP LJ P2035/P2055d/Pro 400 M401/MFP M425 Canon;Картридж CF280A для HP 80A черный;HP
0747cs;0747;Картридж лазерный G&G GG-CF280X черный (6900стр.) для HP LJ P2035/P2055d/Pro 400 M401/MFP M425;Картридж CF280X для HP 80X черный XL ресурс;HP
0748cs;0748;Картридж лазерный G&G GG-CE250A CE250A черный (5000стр.) для HP CLJ CP3525n/CP3525dn/CP3525X/CP3520/CM3530fs MFP/CM3530 MFP;Картридж CE250A для HP 504A черный;HP
0749cs;0749;Картридж лазерный G&G GG-CE251A CE251A голубой (7000стр.) для HP CLJ CP3525n/CP3525dn/CP3525X/CP3520/CM3530fs MFP/CM3530 MFP;Картридж CE251A для HP 504A голубой;HP
0750cs;0750;Картридж лазерный G&G GG-CE252A CE252A желтый (7000стр.) для HP CLJ CP3525n/CP3525dn/CP3525X/CP3520/CM3530fs MFP/CM3530 MFP;Картридж CE252A для HP 504A желтый;HP
0751cs;0751;Картридж лазерный G&G GG-CE253A CE253A пурпурный (7000стр.) для HP CLJ CP3525n/CP3525dn/CP3525X/CP3520/CM3530fs MFP/CM3530 MFP;Картридж CE253A для HP 504A пурпурный;HP
0752cs;0752;Картридж лазерный G&G GG-CE250X CE250X черный (10500стр.) для HP CLJ CP3525n/CP3525dn/CP3525X/CP3520/CM3530fs MFP/CM3530 MFP;Картридж CE250X для HP 504X черный XL ресурс;HP
0755cs;0755;Картридж лазерный G&G GG-CE273A пурпурный (15000стр.) для HP LJ Ent CP5525;Картридж CE273A для HP 650A пурпурный;HP
;0757;Совместимый картридж Colortek CLI-8PC;Картридж CLI-8PC для Canon 0624B001 фото-голубой с чипом;Canon
;0758;Совместимый картридж Colortek CLI-8PM;Картридж CLI-8PM для Canon 0625B001 фото-пурпурный с чипом;Canon
;0759;Совместимый картридж SuperFine CLI-521GY;Картридж CLI-521GY для Canon 2937B004 серый с чипом;Canon
0760cs;0760;Картридж лазерный G&G GG-CE270A черный (13000стр.) для HP LJ Ent CP5525;Картридж CE270A для HP 650A черный;HP
0761cs;0761;Картридж лазерный G&G GG-CE271A голубой (15000стр.) для HP LJ Ent CP5525;Картридж CE271A для HP 650A голубой;HP
0762cs;0762;Картридж лазерный G&G GG-CE272A желтый (15000стр.) для HP LJ Ent CP5525;Картридж CE272A для HP 650A желтый;HP
0764cs;0764;"Картридж лазерный G&G GG-CE410X черный (4000стр.) для HP LJ Pro 300 color M351a/MFP M375nw;Pro 400 color Printer M451nw/MFP M475d/";Картридж CE410X для HP 305X черный с чипом;HP
;0766;Совместимый картридж Colortek CB381A;Картридж CB381A для HP 824A голубой;HP
;0767;Совместимый картридж Colortek CB382A;Картридж CB382A для HP 824A желтый;HP
;0768;Совместимый картридж Colortek CB383A;Картридж CB383A для HP 824A пурпурный;HP
0769cs;0769;Картридж лазерный G&G GG-Q7570A Q7570A черный (15000стр.) для HP LJ M5035;Картридж Q7570A для HP 70A черный;HP
0774cs;0774;Картридж лазерный G&G GG-C9732A C9732A желтый (12000стр.) для HP CLJ 5500/5500n/5500dn/5500hdn/5500dtn/5550/5550n/5550dtn/5550hdn;Картридж C9732A для HP 645A желтый;HP
0775cs;0775;Картридж лазерный G&G GG-C9731A C9731A голубой (12000стр.) для HP CLJ 5500/5500n/5500dn/5500hdn/5500dtn/5550/5550n/5550dtn/5550hdn;Картридж C9731A для HP 645A голубой;HP
0776cs;0776;Картридж лазерный G&G GG-C9733A C9733A пурпурный (12000стр.) для HP CLJ 5500/5500n/5500dn/5500hdn/5500dtn/5550/5550n/5550dtn/5550hdn;Картридж C9733A для HP 645A пурпурный;HP
;0777;Совместимый картридж SolutionPrint CE740A;Картридж CE740A для HP 307A черный;HP
0777cs;0777;Картридж лазерный G&G GG-CE740A черный (7000стр.) для HP LJ CP5220/CP5221/CP5223/CP5225;Картридж CE740A для HP 307A черный;HP
0778cs;0778;Картридж лазерный G&G GG-CE741A голубой (7300стр.) для HP CLJ CP5220/CP5221;Картридж CE741A для HP 307A голубой;HP
