внешний код;модель ТК;доп. название;серия;цвет;ресурс;чип в ТК сейчас;поставить в ТК;согласны поставщиков;как пишут поставщики;остаток на Удаленном;наши карточки МС
2402;TK-5270M;;TK-5270 DS;M;6000;не указан;с чипом;2;Картридж лазерный G&G GG-TK5270M TK5270M пурпурн | Тонер-картридж EasyPrint LK-5270M для Kyocera EC;47.0;2402cs, 2402ep
2403;TK-5270Y;;TK-5270 DS;Y;6000;не указан;с чипом;2;Картридж лазерный G&G GG-TK5270Y TK5270Y желтый  | Тонер-картридж EasyPrint LK-5270Y для Kyocera EC;31.0;2403cs, 2403ep
2650;SPC250Bk;407543;SPC250 DS;BK;2000;не указан;с чипом;2;Картридж EasyPrint LR-SPC250BK для Ricoh SP C250 | Картридж лазерный Cactus CS-SP250EBK 407543 черн;123.0;2650cs, 2650ep
2651;SPC250C;407544;SPC250 DS;C;1600;не указан;с чипом;2;Картридж EasyPrint LR-SPC250C для Ricoh SP C250D | Картридж лазерный Cactus CS-SP250EC 407544 голуб;148.0;2651cs, 2651ep
2652;SPC250M;407545;SPC250 DS;M;1600;не указан;с чипом;2;$_СРОЧНО Картридж EasyPrint LR-SPC250M для Ricoh | Картридж лазерный Cactus CS-SP250EM 407545 пурпу;100.0;2652cs, 2652ep
2653;SPC250Y;407546;SPC250 DS;Y;1600;не указан;с чипом;2;Картридж EasyPrint LR-SPC250Y для Ricoh SP C250D | Картридж лазерный Cactus CS-SP250EY 407546 желты;129.0;2653cs, 2653ep
2969;051H;2169C002;;BK;4100;не указан;с чипом;2;051H Картридж EasyPrint LC-051H для Canon i-SENS | TC-C051H Картридж T2 для Canon i-SENSYS LBP162dw;175.0;2969ep, 2969t2
3032;TK-3060;;;BK;14500;не указан;с чипом;5;TC-K3060 Картридж T2 для Kyocera ECOSYS M3145idn | Картридж TK-3060 для Kyocera с чипом | Тонер-картридж EasyPrint LK-3060 для Kyocera ECO;161.0;3032el, 3032ep, 3032sp, 3032t2
3047;CLI-481XXLBK;1993C001;CLI-481XXL DS;BK;;не указан;с чипом;2;IC-CCLI-481BK XXL Картридж T2 для Canon PIXMA TS | Картридж струйный Cactus CS-CLI481XXLBK CLI-481X;190.0;3047cs, 3047t2
3049;CLI-481XXLM;1991C001;CLI-481XXL DS;M;760;не указан;с чипом;2;IC-CCLI-481M XXL Картридж T2 для Canon PIXMA TS6 | Картридж струйный Cactus CS-CLI481XXLM CLI-481XL;199.0;3049cs, 3049t2
3050;CLI-481XXLPB;1994C001;CLI-481XXL DS;C;;не указан;с чипом;2;IC-CCLI-481PB XXL Картридж T2 для Canon PIXMA TS | Картридж струйный Cactus CS-CLI481XXLPB CLI-481X;69.0;3050cs, 3050t2
3051;CLI-481XXLY;1992C001;CLI-481XXL DS;Y;824;не указан;с чипом;2;IC-CCLI-481Y XXL Картридж T2 для Canon PIXMA TS6 | Картридж струйный Cactus CS-CLI481XXLY CLI-481XL;231.0;3051cs, 3051t2
3065;T9451 BK;C13T945140;T9451-T9454 DS;BK;5000;не указан;с чипом;2;IC-ET9451 Картридж T2 для Epson WorkForce Pro C5 | Картридж струйный Cactus CS-EPT9451 T9451 черный;146.0;3065cs, 3065t2
3192;054HBK;3028C002;054H (3028C002-3025C002) DS;BK;3100;не указан;с чипом;2;054H/045H BK Картридж EasyPrint LC-054H/045H BK  | TC-C054H BK Картридж T2 для Canon i-SENSYS LBP62;109.0;3192ep, 3192t2
3195;054H Y;3025C002;054H (3028C002-3025C002) DS;Y;2300;не указан;с чипом;2;054H/045H Y Картридж EasyPrint LC-054H/045H Y дл | TC-C054H Y Картридж T2 для Canon i-SENSYS LBP621;89.0;3195ep, 3195t2
3560;PFI-120MBK;2884C001;PFI-120 DS;BKM;;не указан;с чипом;2;IC-CPFI-120MBK Картридж T2 для Canon imagePROGRA | Картридж струйный Cactus CS-PFI120MBK PFI-120 MB;423.0;3560cs, 3560t2
3561;PFI-120C;2886C001;PFI-120 DS;C;;не указан;с чипом;2;IC-CPFI-120C Картридж T2 для Canon imagePROGRAF  | Картридж струйный Cactus CS-PFI120C PFI-120 C го;166.0;3561cs, 3561t2
3562;PFI-120M;2887C002;PFI-120 DS;M;;не указан;с чипом;2;IC-CPFI-120M Картридж T2 для Canon imagePROGRAF  | Картридж струйный Cactus CS-PFI120M PFI-120 M пу;208.0;3562cs, 3562t2
3563;PFI-120Y;2888C001;PFI-120 DS;Y;;не указан;с чипом;2;IC-CPFI-120Y Картридж T2 для Canon imagePROGRAF  | Картридж струйный Cactus CS-PFI120Y PFI-120 Y же;157.0;3563cs, 3563t2
3676;PFI-710Bk;2354C001;PFI-710 DS;BK;700;не указан;с чипом;2;IC-CPFI-710BK Картридж T2 для Canon imagePROGRAF | Картридж струйный Cactus CS-PFI710BK PFI-710 BK ;20.0;3676cs, 3676t2
3680;PFI-710MBk;2353C001;PFI-710 DS;BKM;;не указан;с чипом;2;IC-CPFI-710MBK Картридж T2 для Canon imagePROGRA | Картридж струйный Cactus CS-PFI710MBK PFI-710 MB;37.0;3680cs, 3680t2
3791;T04A1 BK;C13T04A140;T04A1-T04A4 (C13T04A140-C13T04A440) DS;BK;11500;не указан;с чипом;2;IC-ET04A140 Картридж T2 для Epson WorkForce Pro  | Картридж струйный Cactus CS-EPT04A140 T04A1 черн;24.0;3791cs, 3791t2
3884;T05A4 M;C13T05A400;T05A1-T05A4 (C13T05A100-C13T05A400) DS;Y;15000;не указан;с чипом;2;IC-ET05A400 Картридж T2 для Epson WorkForce Pro  | Картридж струйный Cactus CS-EPT05A400 T05A4 желт;35.0;3884cs, 3884t2
3891;LC-3239XLBK;;LC-3239XL DS;BK;6000;не указан;с чипом;2;IC-B3239XL-BK Картридж T2 для Brother HL-J6000DW | Картридж струйный Cactus CS-LC3239XLBK черный пи;124.0;3891cs, 3891t2
3892;LC-3239XLC;;LC-3239XL DS;C;5000;не указан;с чипом;2;IC-B3239XL-C Картридж T2 для Brother HL-J6000DW/ | Картридж струйный Cactus CS-LC3239XLC голубой (5;118.0;3892cs, 3892t2
3893;LC-3239XLM;;LC-3239XL DS;M;5000;не указан;с чипом;2;IC-B3239XL-M Картридж T2 для Brother HL-J6000DW/ | Картридж струйный Cactus CS-LC3239XLM пурпурный ;119.0;3893cs, 3893t2
3894;LC-3239XLY;;LC-3239XL DS;Y;5000;не указан;с чипом;2;IC-B3239XL-Y Картридж T2 для Brother HL-J6000DW/ | Картридж струйный Cactus CS-LC3239XLY желтый (52;107.0;3894cs, 3894t2
4050;PFI-320C;2891C001;PFI-320 DS;C;;не указан;с чипом;2;IC-CPFI-320C Картридж T2 для Canon imagePROGRAF  | Картридж струйный Cactus CS-PFI320C PFI-320 C го;124.0;4050cs, 4050t2
4051;PFI-320M;2892C001;PFI-320 DS;M;;не указан;с чипом;2;IC-CPFI-320M Картридж T2 для Canon imagePROGRAF  | Картридж струйный Cactus CS-PFI320M PFI-320 M пу;135.0;4051cs, 4051t2
4052;PFI-320Y;2893C001;PFI-320 DS;Y;;не указан;с чипом;2;IC-CPFI-320Y Картридж T2 для Canon imagePROGRAF  | Картридж струйный Cactus CS-PFI320Y PFI-320 Y же;126.0;4052cs, 4052t2
4053;PFI-320Bk;2890C001;PFI-320 DS;BK;;не указан;с чипом;2;IC-CPFI-320BK Картридж T2 для Canon imagePROGRAF | Картридж струйный Cactus CS-PFI320BK PFI-320 BK ;174.0;4053cs, 4053t2
4054;PFI-320MBk;2889C001;PFI-320 DS;BKM;;не указан;с чипом;2;IC-CPFI-320MBK Картридж T2 для Canon imagePROGRA | Картридж струйный Cactus CS-PFI320MBK PFI-320 MB;144.0;4054cs, 4054t2
4159;TL-5120H;;;BK;6000;не указан;с чипом;3;TL-5120H Картридж EasyPrint LPM-TL-5120H для Pan | Картридж лазерный Cactus CS-TL-5120H TL-5120H че | Картридж лазерный Cactus CS-TL-5120HP TL-5120HP ;552.0;4159cs, 4159ep
4334;TL-5120X;;;BK;15000;не указан;с чипом;2;TL-5120X Картридж EasyPrint LPM-TL-5120X для Pan | Картридж лазерный Cactus CS-TL-5120X TL-5120X че;600.0;4334bt, 4334cs, 4334ep
4481;CTL-1100XK;;CTL-1100X;BK;3000;не указан;с чипом;2;CTL-1100XBK Картридж EasyPrint LPM-CTL-1100XBK д | TC-PM1100XBK Картридж T2 для Pantum CP1100/CM110;162.0;4481ep, 4481t2
4482;CTL-1100XC;;CTL-1100X;C;2300;не указан;с чипом;2;CTL-1100XC Картридж EasyPrint LPM-CTL-1100XC для | СРОЧНО TC-PM1100XC Картридж T2 для Pantum CP1100;200.0;4482ep, 4482t2
4483;CTL-1100XM;;CTL-1100X;M;2300;не указан;с чипом;2;CTL-1100XM Картридж EasyPrint LPM-CTL-1100XM для | TC-PM1100XM Картридж T2 для Pantum CP1100/CM1100;200.0;4483ep, 4483t2
4484;CTL-1100XY;;CTL-1100X;Y;2300;не указан;с чипом;2;CTL-1100XY Картридж EasyPrint LPM-CTL-1100XY для | СРОЧНО TC-PM1100XY Картридж T2 для Pantum CP1100;200.0;4484ep, 4484t2
4802;PC-211EV XL;;;BK;6000;не указан;с чипом;2;Картридж лазерный Cactus CS-PC-211EV-MPS PC-211E | Тонер-картридж Pantum P2200/M6500 PC-211EV XL (6;550.0;48027q, 4802at, 4802cs
5313;C7115A;15A;;BK;2500;не указан;с чипом;2;15A/13A/24A/EP-25 Картридж EasyPrint LH-15A U дл | TC-H15AU Картридж T2 для HP LJ 1000/1150/1200/13;64.0;5313ep, 5313t2
5446;TK-3430;;TK-3430;BK;25000;не указан;с чипом;3;TC-K3430 Тонер-картридж T2 для yocera ECOSYS PA5 | Картридж лазерный Cactus CS-TK3430 TK-3430 черны | Тонер-картридж EasyPrint LK-3430 для Kyocera ECO;385.0;5446cs, 5446ep, 5446t2
5793;TN-3610XL;;TN-3600;BK;25000;не указан;с чипом;3;Картридж SP TN-3610XL для Brother черный (с чипо | Тонер-картридж 7Q TN3610XL для Brother HL-L6410,;97.0;57937q, 5793ep, 5793sp, 5793t2
6382;DL-R5220;;;BK;30000;не указан;с чипом;2;DL-R5220 Драм-картридж EasyPrint DPM-DL-R5220 дл | СРОЧНО DC-PMR5220 Фотобарабан T2 для Pantum BP52;200.0;6382ep, 6382t2
6949;TL-C2318H;;;BK;1600;не указан;с чипом;2;TC-PMC2318H Картридж T2 для Pantum BP1800/BP1800 | TL-C2318H Картридж EasyPrint LPM-TL-C2318H для P;125.0;6949ep, 6949t2
